line_number,covered
151,True
201,True
152,True
199,False
71,True
211,True
195,True
196,False
265,True
219,True
133,True
132,True
131,True
130,True
137,True
136,True
226,True
83,False
80,True
138,True
253,True
172,False
171,False
85,True
198,True
268,True
237,True
207,True
249,True
257,True
162,True
79,True
185,True
163,True
146,True
271,True
145,True
142,True
143,True
140,True
141,True
221,True
149,True
245,True
75,True
74,True
229,True
125,True
126,True
228,True
129,True
269,True
224,True
95,True
104,False
78,True
170,False
114,True
261,True
266,True
233,True
241,True
169,False
