line_number,covered
216,True
215,True
212,True
213,True
210,True
219,True
223,True
289,True
288,True
340,True
221,True
343,True
220,True
258,True
120,True
366,True
123,True
124,True
125,True
127,True
129,True
269,True
59,True
58,True
55,True
56,True
51,True
50,True
53,True
52,True
298,True
299,True
297,True
294,True
293,True
290,True
291,True
201,True
179,True
310,True
144,True
270,True
177,True
117,True
116,True
111,True
275,True
113,True
112,True
82,True
83,True
80,True
81,True
119,True
87,True
85,True
251,True
254,True
369,True
247,True
365,True
362,True
360,True
308,True
303,True
304,True
306,True
307,True
245,True
108,True
109,True
241,True
242,True
106,True
107,True
105,True
31,True
37,False
36,False
246,True
252,True
338,True
271,True
337,True
336,True
176,True
62,True
63,True
64,True
66,True
67,True
68,True
69,True
175,True
174,True
256,True
172,True
171,True
255,True
145,True
182,True
181,True
186,True
184,True
370,True
168,True
169,True
90,True
225,True
92,True
160,True
161,True
162,True
163,True
373,True
114,True
88,True
273,True
150,True
153,True
152,True
157,True
156,True
158,True
238,True
239,True
236,True
237,True
323,True
327,True
324,True
325,True
329,True
146,True
147,True
203,True
202,True
205,True
204,True
207,True
209,True
208,True
149,True
77,True
75,True
74,True
78,True
357,True
353,True
352,True
359,True
