line_number,covered
216,True
214,True
215,True
212,False
210,True
211,True
762,True
763,True
761,True
219,True
135,True
95,False
222,True
407,True
819,False
546,False
545,False
283,False
282,False
285,False
408,False
678,False
715,False
677,False
712,False
711,False
260,True
267,False
265,False
268,True
54,True
57,True
51,True
411,True
825,False
824,False
827,False
295,True
820,False
823,False
197,False
196,True
618,False
315,True
271,True
619,False
110,True
113,True
112,True
80,True
81,True
368,True
366,True
363,True
360,True
361,False
584,False
585,False
580,False
581,False
304,True
381,False
382,False
109,True
385,False
102,True
103,True
106,True
107,True
104,False
789,False
645,False
644,False
647,False
511,False
434,False
512,False
515,False
430,False
431,False
622,False
453,False
454,False
457,False
258,False
252,True
253,False
250,True
251,False
256,True
257,True
857,False
858,False
480,False
753,True
757,True
754,False
758,True
99,True
98,True
224,True
223,True
94,True
220,False
549,False
861,False
863,False
862,False
865,False
765,True
155,False
154,False
157,False
48,True
877,True
45,True
328,True
201,True
200,True
203,False
202,True
207,False
206,True
79,True
78,True
476,False
477,False
681,False
