BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,<init>,72,KILLED,RegressionTest19.test03974(RegressionTest19)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,72,KILLED,RegressionTest0.test00120(RegressionTest0)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,<init>,73,KILLED,RegressionTest0.test00090(RegressionTest0)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,72,KILLED,RegressionTest0.test00120(RegressionTest0)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,74,KILLED,RegressionTest11.test02259(RegressionTest11)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,75,KILLED,RegressionTest0.test00120(RegressionTest0)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,<init>,199,KILLED,RegressionTest18.test03672(RegressionTest18)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,<init>,191,KILLED,RegressionTest0.test00126(RegressionTest0)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,<init>,193,SURVIVED,none
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,<init>,196,KILLED,RegressionTest18.test03672(RegressionTest18)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,190,KILLED,RegressionTest0.test00126(RegressionTest0)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,190,KILLED,RegressionTest0.test00126(RegressionTest0)
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,191,SURVIVED,none
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,193,SURVIVED,none
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,194,SURVIVED,none
BaseInterval.java,org.joda.time.base.BaseInterval,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,<init>,195,KILLED,RegressionTest54.test10886(RegressionTest54)
